,id,created_at,text,signal,locationsignal
1233,1071035084482895873,2018-12-07 13:33:57,"WARGA TERDAMPAK BANJIR DI KABUPATEN LANDAK MULAI MENGUNGSI 
.
Warga yang terdampak banjir di kabupaten Landak mulai… https://t.co/K9ROJXuKVa",True,True
1235,1071028524369276933,2018-12-07 13:07:53,"DI KECAMATAN NGABANG, BANJIR MENCAPAI 1,5 METER 
.
Kecamatan Ngabang, menjadi salah satu kecamatan dengan banjir pa… https://t.co/rRUyQnOknv",True,True
1248,1070922839484760064,2018-12-07 06:07:56,"SEJUMLAH DESA DI KABUPATEN LANDAK DIRENDAM BANJIR
.
Sejumlah Desa di Kabupaten Landak direndam banjir. Banjir yang… https://t.co/1r72dgg8du",True,True
107,1198191317907492864,2019-11-23 10:47:26,Kawasan Kota Baru juga terdampak banjir. https://t.co/TM8U6yhpFq,True,True
479,952167947157438466,2018-01-13 13:18:23,"POLLING: Menurut anda, apa faktor utama penyebab genangan banjir di Kota Pontianak hari ini?",True,True
482,952003584169672707,2018-01-13 02:25:16,"Memiliki visi dan misi mampu mengatasi banjir sangatlah diperlukan oleh Pemimpin Pontianak di masa mendatang.

Meni… https://t.co/NG1EWXDyLx",True,True
497,939367727306752000,2017-12-09 05:34:53,"Bbrp titik di kawasan Pontianak hingga siang ini masih tergenang banjir, bagaimana dgn tempat tinggal mu? https://t.co/iYR1iYR235",True,True
695,831825744426733569,2017-02-15 11:21:26,#Pontianakbanjir https://t.co/a4ogpHwvkx,True,True
32,1335374645923512321,2020-12-06 00:05:00,"Kota Pontianak kembali dilanda banjir rob, pada Sabtu pagi. Kali ini, kondisi puncak tertinggi pasang surut, berada… https://t.co/d1jaC7wM0G",True,True
44,1305751702398787585,2020-09-15 06:14:00,"Hingga saat ini, banjir masih merendam sejumlah wilayah di 6 kecamatan di Kabupaten #Mempawah. Meski di beberapa wi… https://t.co/F5ypsb78aB",True,True
56,1303195106338435073,2020-09-08 04:55:00,"Hingga saat ini, 5 kecamatan di wilayah Kabupaten #Mempawah masih terendam banjir. Dari 5 kecamatan tersebut, kondi… https://t.co/gvvoSaz0A8",True,True
101,1286561754953273344,2020-07-24 07:20:00,"Aksi gabungan relawan Kota Pontianak, menyalurkan bantuan berupa 200 paket sembako kepada korban banjir, di Kecamat… https://t.co/5EwNV1QQyX",True,True
102,1286561503600971777,2020-07-24 07:19:00,"Akibat banjir bandang yang terjadi 10 dan 11 Juli lalu di Kecamatan Kayan Hulu, bangunan dan fasilitas SDN 25 Empak… https://t.co/gAmfTgVfRC",True,True
103,1286561251724857345,2020-07-24 07:18:00,"Sampai saat ini, masih ada 5 kecamatan di Kabupaten Sintang yang masih terendam banjir. Dua diantaranya, yaitu Keca… https://t.co/bkGXkKWYTd",True,True
150,1282944167883104256,2020-07-14 07:45:00,"Ada sebanyak 35 desa yang tersebar di 9 kecamatan di Kabupaten #Mempawah, termasuk rawan terjadi banjir. Selain kar… https://t.co/xWak3NRpwU",True,True
947,1099884534575833088,2019-02-25 04:11:22,"Musibah banjir masih melanda Desa Kuala Mandor A, Kecamatan Kuala Mandor B, Kabupaten Kubu Raya. Musibah banjir ini… https://t.co/mmrlI3EM8m",True,True
1402,1086171025757200384,2019-01-18 07:58:47,"Tak hanya banjir buah durian, kini Kota Pontianak juga sedang dibanjiri buah langsat. Buah yang kecil namun rasanya… https://t.co/RUUYpBXCd7",True,True
1406,1086169313201901569,2019-01-18 07:51:58,"Tak hanya banjir buah durian, kini Kota Pontianak juga sedang dibanjiri buah langsat. Buah yang kecil namun... https://t.co/3pFKqzlnvr",True,True
1771,1079613532881207296,2018-12-31 05:41:39,Warga Tanjungpura dan Komyos Sudarso mendadak panik akibat banjir yang datang secara tiba-tiba dan... https://t.co/5CLMo0p6eE,True,True
2043,1074878626338754560,2018-12-18 04:06:49,"BPBD Mempawah kembali menyerahkan bantuan 25 dus mie instan kepada warga yang terkena dampak banjir, di Desa Sejegi… https://t.co/AIdylCzb7q",True,True
2056,1074696749795733504,2018-12-17 16:04:06,"BPBD Mempawah kembali menyerahkan bantuan 25 dus mie instan kepada warga yang terkena dampak banjir, di... https://t.co/HkU7X2rdyM",True,True
2135,1073208802755993601,2018-12-13 13:31:32,Gubernur Kalbar Sutarmidji turut prihatin dengan bencana banjir yang terjadi di beberapa daerah di Kalbar. Karena i… https://t.co/JsNWD3VonY,True,True
2161,1073121380017848320,2018-12-13 07:44:09,"Guna memudahkan masyarakat melintasi akses jalan yang tergenang banjir, Personil Polsek Kayan Hulu bersama warga ba… https://t.co/43rgTNeS4f",True,True
2162,1073121216507142144,2018-12-13 07:43:30,"Selain membanjiri pemukiman warga di Kecamatan Kayan Hulu, Kabupaten Sintang, luapan Sungai Kayan dan Sungai Tebida… https://t.co/07eHNf7yHy",True,True
2271,1070543027565846528,2018-12-06 04:58:42,"Meningkatnya curah hujan akhir-akhir ini, menyebabkan banjir di beberapa lokasi salah satunya di Jalan Purnama Pont… https://t.co/B9RbkRmWB3",True,True
2491,1067317211772022784,2018-11-27 07:20:27,"Selama bulan November 2018, ada lima kecamatan di Kabupaten Mempawah terendam banjir, akibat diguyur hujan deras da… https://t.co/dyDVeCkDwI",True,True
2492,1067316200185593856,2018-11-27 07:16:26,"Warga di Dusun Sebukit Rama, Desa Pasir Kecamatan Mempawah Hilir Kabupaten Mempawah, yang rumahnya terendam banjir,… https://t.co/ANuzRhNDPb",True,True
2506,1067311032035471361,2018-11-27 06:55:54,"Selama bulan November 2018, ada lima kecamatan di Kabupaten Mempawah terendam banjir, akibat diguyur hujan... https://t.co/ydWu3AcADR",True,True
2913,1059395822301913088,2018-11-05 10:43:41,"Bupati  Kubu Raya Rusman Ali, menetapkan Kabupaten Kubu Raya dalam status siaga bencana banjir angin puting... https://t.co/oJLN5sRwF3",True,True
407,1284319778614792194,2020-07-18 02:51:11,Pemerintah Daerah Kabupaten Sekadau menyalurkan bantuan logistik kepada masyarakat yang terkena banjir di Desa Tanj… https://t.co/EVZ9Z8icb2,True,True
449,1283338376125579266,2020-07-15 09:51:26,"Menyikapi banjir bandang yang kerap terjadi di beberapa wilayah di Kabupaten Landak, pemerintah mengajak masyarakat… https://t.co/59eZA4CzXJ",True,True
450,1283308093481398273,2020-07-15 07:51:06,"Setidaknya ada tujuh desa yang disinggahi oleh Wakil Bupati Sintang, Askiman saat meninjau kondisi banjir di Kecama… https://t.co/FAYKYZHDaR",True,True
467,1282975905518743552,2020-07-14 09:51:07,Bupati Sintang Jarot Winarno menyebut setidaknya ada 8.113 rumah yang terdampak banjir selama kurang lebih lima har… https://t.co/5q6rSJvZIp,True,True
658,1279276729979342849,2020-07-04 04:51:54,"Setelah Kecamatan Jelai Hulu dan Manis Mata, kini giliran Kecamatan Tumbang Titi yang terendam banjir. Hujan deras… https://t.co/OqzZja4oOI",True,True
748,1276679592628105216,2020-06-27 00:51:49,Badan Penanggulangan Bencana Daerah (BPBD) Ketapang telah melakukan pendataan terhadap korban banjir di Kecamatan J… https://t.co/4IWzTWWv1y,True,True
4,1334696710346481666,2020-12-04 03:11:07,"Kabupaten Mempawah dilanda banjir Rob akibat pasang air laut pagi ini, beberapa ruas jalan tergenang air.… https://t.co/NCFJeRl3Ei",True,True
6,1334676245368381440,2020-12-04 01:49:48,Kota Pontianak mulai dilanda banjir rob akibat pasang air laut. #mediapemersatubangsa #TVRI #TVRIKalbar https://t.co/ts7XfbLY7l,True,True
611,1101740623952936960,2019-03-02 07:06:48,Kecamatan Nanga Mahap dan Nanga taman Kabupaten Sekadau banjir CC @TVRINasional @Sutopo_PN #sekilasinfo… https://t.co/Ub4yzhEIeX,True,True
690,1091723528041246720,2019-02-02 15:42:26,"Pemukiman warga di Kecamatan Samalantan, Kabupaten Bengkayang terendam banjir dampak dari huja  deras #SekilasInfo… https://t.co/eVE7YItFuq",True,True
756,1078900281356632064,2018-12-29 06:27:26,Kondisi banjir dampak hujan dan pasang air laut di Kota Pontianak #SekilasInfo https://t.co/lDzLIkD537,True,True
1273,939397796565622784,2017-12-09 07:34:22,"Beberapa kawasan di kota pontianak, kubu raya dan mempawah tergenang air dampak dari banjir rob #sekilasinfo… https://t.co/6UE3BuL2mj",True,True
1519,902778864438435840,2017-08-30 06:23:48,Ratusan rumah warga di kabupaten ketapang terendam banjir #SekilasInfo,True,True
991,1329661763705421824,2020-11-20 05:44:03,Pengaturan arus lalu lintas sore hari di tengah banjir yang di setiap jalan kota Pontianak https://t.co/d33HzC7hEA,True,True
71,1334557272601554947,2020-12-03 17:57:03,Kubu Raya salurkan bantuan beras lokal untuk korban banjir https://t.co/ietaOyy3SP https://t.co/wlt9JiMB6z,True,True
83,1333468470957154305,2020-11-30 17:50:32,Dinas Kesehatan Kubu Raya optimalkan layanan kesehatan di lokasi banjir https://t.co/sWFO1Zg8AF https://t.co/49oGC022ll,True,True
375,1308238104726130688,2020-09-22 02:54:04,"Warga Kapuas Hulu diimbau waspada banjir susulan - ANTARA News Kalimantan Barat 
#antara #antarakalbar #kapuashulu… https://t.co/5iKfKqMIYF",True,True
389,1307700936135962625,2020-09-20 15:19:33,BNPB : Kapuas Hulu status tanggap darurat bencana banjir https://t.co/tQGXRbRTze https://t.co/2kyVwC8q8V,True,True
390,1307700932658954240,2020-09-20 15:19:32,Rumah Bastiansyah roboh saat banjir besar di Kapuas Hulu https://t.co/ntwiVyfip6 https://t.co/aC023hYDW1,True,True
406,1306612265559318529,2020-09-17 15:13:34,PLN Kalbar kucurkan dana 280 juta rupiah bantu korban banjir https://t.co/mK4pK2MDKv https://t.co/FJ0yEZTcBh,True,True
412,1306436620447485953,2020-09-17 03:35:37,"MABT - Polisi salurkan bantuan korban banjir Kapuas Hulu - ANTARA News Kalimantan Barat 

@wapres_ri @BukaBantuan 

https://t.co/7IrVygIxMe",True,True
416,1306427265228496896,2020-09-17 02:58:26,"MABT - Polisi salurkan bantuan korban banjir Kapuas Hulu - ANTARA News Kalimantan Barat 
#antara #antarakalbar… https://t.co/Tx2mDZD553",True,True
489,1303151431445221377,2020-09-08 02:01:27,"10 kecamatan di Kapuas Hulu dilanda banjir sejumlah rumah terendam - ANTARA News Kalimantan Barat 
#ANTARA… https://t.co/6cljrcJAdJ",True,True
830,1282879961733332994,2020-07-14 03:29:52,"Pemkab Sintang bantu sembako untuk  korban banjir di Kayan Hilir - 
#antaranews 
#antara 
#antarakalbar

ANTARA New… https://t.co/hDbFcR7Uzc",True,True
883,1279025865133719552,2020-07-03 12:15:04,4.825 korban banjir di Kabupaten Sambas dapat bantuan beras dari pemprov https://t.co/xPXKCAKLFQ https://t.co/NkNZ42xdNa,True,True
1238,1266292311333326850,2020-05-29 08:56:28,Babinsa Koramil 1202-08/Sedau pantau banjir di Kecamatan Singkawang Utara - ANTARA News Kalimantan Barat https://t.co/CPNK5avGdi,True,True
1252,1266129435612246016,2020-05-28 22:09:15,Ruas jalan Pengkadan - Jongkong Kapuas Hulu terendam banjir - ANTARA News Kalimantan Barat https://t.co/8My7D99zbj,True,True
1261,1265925466294112258,2020-05-28 08:38:45,Ruas jalan Pengkadan - Jongkong Kapuas Hulu terendam banjir - ANTARA News Kalimantan Barat https://t.co/jG4HBZWQyA,True,True
2017,1238006771072942081,2020-03-12 07:39:49,"Pemkot Pontianak gelar ""seminar banjir"" cari solusi permasalahan tersebut - ANTARA News Kalimantan Barat… https://t.co/uFyfqJpYDz",True,True
2134,1235488234097930246,2020-03-05 08:52:03,BPBD Landak siapkan perahu di jembatan yang putus akibat banjir - ANTARA News Kalimantan Barat https://t.co/fr0cBcI5dq,True,True
2498,1214842839252779011,2020-01-08 09:34:38,"Karolin minta umat Kristiani Landak ikut doakan korban banjir Jakarta
https://t.co/9qYUkpejYs https://t.co/9qYUkpejYs",True,True
2639,1206361852310999040,2019-12-15 23:54:13,BPBD Kalbar diminta turun ke lokasi banjir di jalan Trans Kalimantan - ANTARA News Kalimantan Barat https://t.co/u2sN9lf8PF,True,True
2641,1206243047932956672,2019-12-15 16:02:08,Jalan Trans Kalimantan ruas Pontianak-Tayan kebanjiran - ANTARA News Kalimantan Barat https://t.co/odJ4R0IUFT,True,True
2642,1206242577982226432,2019-12-15 16:00:16,"Jalan Trans Kalimantan ruas Pontianak-Tayan kebanjiran

Jalan Trans Kalimantan di ruas Pontianak-Tayan, Kalimantan… https://t.co/d58lwXXCjt",True,True
2671,1203882980357206016,2019-12-09 03:44:04,Tim Damkar Melawi bersihkan lumpur usai banjir bandang https://t.co/poza4qop6a antarakalbar https://t.co/YP2FmjVq2t,True,True
2675,1203247166078083074,2019-12-07 09:37:34,Bupati Sekadau pantau banjir di sejumlah titik di Kecamatan Nanga Taman https://t.co/g2uElvgbSg antarakalbar https://t.co/UHIFM9nOmd,True,True
2755,1197705095548411905,2019-11-22 02:35:21,"Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

https://t.co/BPAi5sRaLB... https://t.co/BPAi5sRaLB",True,True
2756,1197704984281767936,2019-11-22 02:34:55,"@pharmaniaga_bhd Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

https://t.co/BPAi5szzn1

#banjir… https://t.co/lDHCJRn5EM",True,True
2757,1197704953625604096,2019-11-22 02:34:47,"@DMCDompetDhuafa Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

https://t.co/BPAi5szzn1

#banjir… https://t.co/VsAbra3tbS",True,True
2758,1197704930682818562,2019-11-22 02:34:42,"@DMCDompetDhuafa @infomitigasi Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus… https://t.co/O1TLZZBXtk",True,True
2759,1197704906745896960,2019-11-22 02:34:36,"@petabencana @Aliyarahmanitya Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus… https://t.co/yNMvT2qFh2",True,True
2760,1197704885157781504,2019-11-22 02:34:31,"@voaindonesia Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

https://t.co/BPAi5szzn1

#banjir… https://t.co/CLKuO18oTd",True,True
2762,1197704748360581121,2019-11-22 02:33:58,"@bernamadotcom Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

https://t.co/BPAi5szzn1

#banjir… https://t.co/wcDGv3Vcvw",True,True
2763,1197704716378984448,2019-11-22 02:33:51,"@pengairan_jatim @KhofifahIP @jatimcettar_ @EmilDardak @humasprovjatim Hulu Gurung banjir, ruas jalan Pontianak - P… https://t.co/XDgjt8ny56",True,True
2764,1197704685534105600,2019-11-22 02:33:43,"@DKIJakarta @dinaslhdki @DinasSDAJakarta @BinaMargaDKI @aniesbaswedan Hulu Gurung banjir, ruas jalan Pontianak - Pu… https://t.co/5sPQtmJkE3",True,True
2765,1197704630567763968,2019-11-22 02:33:30,"@InfoBanjirV2 Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

https://t.co/BPAi5szzn1

#banjir… https://t.co/DjbYBP6yFc",True,True
2766,1197703977426657280,2019-11-22 02:30:55,"Hulu Gurung banjir, ruas jalan Pontianak - Putussibau terputus

Putussibau (ANTARA) - Banjir bandang melanda wilaya… https://t.co/5P3aAdlFFk",True,True
